Year,Annomaly
2020.00,1.21
2021.00,1.24
2022.00,1.27
2023.00,1.29
2024.00,1.32
2025.00,1.34
2026.00,1.36
2027.00,1.38
2028.00,1.40
2029.00,1.41
2030.00,1.43
2031.00,1.44
2032.00,1.45
2033.00,1.46
2034.00,1.46
2035.00,1.47
2036.00,1.48
2037.00,1.48
2038.00,1.48
2039.00,1.48
2040.00,1.49
2041.00,1.49
2042.00,1.49
2043.00,1.48
2044.00,1.48
2045.00,1.48
2046.00,1.48
2047.00,1.48
2048.00,1.47
2049.00,1.47
2050.00,1.46
2051.00,1.46
2052.00,1.46
2053.00,1.45
2054.00,1.45
2055.00,1.44
2056.00,1.43
2057.00,1.43
2058.00,1.42
2059.00,1.41
2060.00,1.41
2061.00,1.40
2062.00,1.39
2063.00,1.39
2064.00,1.38
2065.00,1.38
2066.00,1.37
2067.00,1.36
2068.00,1.36
2069.00,1.35
2070.00,1.34
2071.00,1.34
2072.00,1.33
2073.00,1.32
2074.00,1.32
2075.00,1.31
2076.00,1.31
2077.00,1.30
2078.00,1.29
2079.00,1.29
2080.00,1.28
2081.00,1.27
2082.00,1.27
2083.00,1.26
2084.00,1.26
2085.00,1.25
2086.00,1.24
2087.00,1.24
2088.00,1.24
2089.00,1.24
2090.00,1.24
2091.00,1.23
2092.00,1.23
2093.00,1.23
2094.00,1.23
2095.00,1.23
2096.00,1.23
2097.00,1.23
2098.00,1.23
2099.00,1.23
2100.00,1.23
2101.00,1.22
2102.00,1.22
2103.00,1.22
2104.00,1.22
2105.00,1.22
2106.00,1.22
2107.00,1.22
2108.00,1.22
2109.00,1.22
2110.00,1.22
2111.00,1.22
2112.00,1.21
2113.00,1.21
2114.00,1.21
2115.00,1.21
2116.00,1.21
2117.00,1.21
2118.00,1.21
2119.00,1.21
2120.00,1.20
2121.00,1.20
2122.00,1.20
2123.00,1.20
2124.00,1.20
2125.00,1.20
2126.00,1.20
2127.00,1.19
2128.00,1.19
2129.00,1.19
2130.00,1.19
2131.00,1.19
2132.00,1.19
2133.00,1.19
2134.00,1.18
2135.00,1.18
2136.00,1.18
2137.00,1.18
2138.00,1.18
2139.00,1.17
2140.00,1.17
2141.00,1.17
2142.00,1.17
2143.00,1.17
2144.00,1.17
2145.00,1.16
2146.00,1.16
2147.00,1.16
2148.00,1.16
2149.00,1.15
2150.00,1.15
